lastname,firstname,specialty,hospitalname,phone,address,address2,city,state,zipcode,county,acceptingnewpatients,languages,gender,board_certification,hospital_affiliation,ipa,health_plan_benefit_name_accepted
VALLEYWISE BEHAVIORAL HLTH CTR MESA BH,,HOSPITAL,VALLEYWISE HEALTH,(480) 344-2013,570 W BROWN RD,,MESA,AZ,85201,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE HEALTH,,HOSPITAL,VALLEYWISE HEALTH,(602) 655-1000,5102 W CAMPBELL AVE,,PHOENIX,AZ,85031,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE HEALTH,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-8152,2601 E ROOSEVELT ST,,PHOENIX,AZ,85008,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE HEALTH,,HOSPITAL,VALLEYWISE HEALTH,(602) 655-2000,8088 W WHITNEY DR,,PEORIA,AZ,85345,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE HEALTH,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-1015,2525 E ROOSEVELT ST,,PHOENIX,AZ,85008,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE HEALTH,,HOSPITAL,VALLEYWISE HEALTH,(833) 855-9973,570 W BROWN RD,,MESA,AZ,85201,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR N PHOENIX,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-6300,2525 W NORTHERN AVE,,PHOENIX,AZ,85051,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH,,HOSPITAL,HONORHEALTH,(520) 509-2700,1500 S MILL AVE,,TEMPE,AZ,85281,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ORTHOPEDIC AND SURGICAL SPECIAL COMPANY,,HOSPITAL,ORTHOPEDIC AND SURGICAL SPECIALTY COMPANY L.L.C.,(480) 603-9000,2905 WEST WARNER RD,STE 1,CHANDLER,AZ,85224,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMP HLTH CTR,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-1015,2525 E ROOSEVELT ST,,PHOENIX,AZ,85008,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ST LUKES MEDICAL CENTER LP,,HOSPITAL,TEMPE ST LUKES HOSPITAL,(480) 784-5500,1500 S MILL AVE,,TEMPE,AZ,85281,MARICOPA,YES,ENGLISH,,NO,,STEWARD HEALTH CARE NETWORK,
MOUNTAIN VISTA MEDICAL CENTER LP,,HOSPITAL,MOUNTAIN VISTA MEDICAL CENTER,(480) 358-6100,1301 S CRISMON RD,,MESA,AZ,85209,MARICOPA,YES,ENGLISH,,NO,,STEWARD HEALTH CARE NETWORK,
CARONDELET ST MARY'S HOSP,,HOSPITAL,CARONDELET ST MARYS HOSPITAL,(520) 872-3000,1601 W ST MARYS RD,,TUCSON,AZ,85745,PIMA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
SOUTHWEST ORTHOPEDIC AND SPINE HOSPITAL,,HOSPITAL,OASIS HOSPITAL,(602) 797-7700,750 N 40TH ST,,PHOENIX,AZ,85008,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
